iteration : 4539, ce : 0.1649314358830452, dice : 0.5008755847811699, total_loss : 0.6658070147037506, time : 49
iteration : 4559, ce : 0.18316224366426467, dice : 0.4977889582514763, total_loss : 0.6809512004256248, time : 49
iteration : 4579, ce : 0.2084533091634512, dice : 0.5457926839590073, total_loss : 0.7542459934949874, time : 49
iteration : 4599, ce : 0.17904051318764685, dice : 0.551297304034233, total_loss : 0.7303378254175186, time : 49
iteration : 4619, ce : 0.1607469093054533, dice : 0.4806863158941269, total_loss : 0.6414332240819931, time : 49
iteration : 4639, ce : 0.17395290918648243, dice : 0.532821786403656, total_loss : 0.7067746907472611, time : 49
iteration : 4659, ce : 0.16374403554946185, dice : 0.5566116660833359, total_loss : 0.7203557029366493, time : 49
iteration : 4679, ce : 0.1570258904248476, dice : 0.5231083035469055, total_loss : 0.6801341965794563, time : 49
iteration : 4699, ce : 0.1982980415225029, dice : 0.5303920209407806, total_loss : 0.7286900669336319, time : 49
iteration : 4719, ce : 0.15824665315449238, dice : 0.5388515546917916, total_loss : 0.6970982134342194, time : 49
iteration : 4739, ce : 0.1698361661285162, dice : 0.5035860344767571, total_loss : 0.6734221965074539, time : 49
iteration : 4759, ce : 0.18333695493638516, dice : 0.510301984846592, total_loss : 0.6936389356851578, time : 49
iteration : 4779, ce : 0.16982926651835442, dice : 0.521919670701027, total_loss : 0.6917489364743232, time : 49
iteration : 4799, ce : 0.16179938353598117, dice : 0.5167490676045418, total_loss : 0.67854845225811, time : 49
iteration : 4819, ce : 0.17821781616657972, dice : 0.5519160136580468, total_loss : 0.7301338225603103, time : 49
iteration : 4839, ce : 0.16709510646760464, dice : 0.5058627158403397, total_loss : 0.6729578241705895, time : 49
iteration : 4859, ce : 0.19556010216474534, dice : 0.5148745737969875, total_loss : 0.7104346677660942, time : 49
iteration : 4879, ce : 0.18770507350564003, dice : 0.4971878707408905, total_loss : 0.6848929405212403, time : 49
iteration : 4899, ce : 0.16369246430695056, dice : 0.5003221377730369, total_loss : 0.6640146031975747, time : 49
iteration : 4919, ce : 0.21289511881768702, dice : 0.5220189228653908, total_loss : 0.7349140346050262, time : 49
iteration : 4939, ce : 0.18185702562332154, dice : 0.476827909052372, total_loss : 0.6586849391460419, time : 49
iteration : 4959, ce : 0.1986030749976635, dice : 0.5475018128752709, total_loss : 0.7461048930883407, time : 49
iteration : 4979, ce : 0.1939334835857153, dice : 0.5520652562379837, total_loss : 0.745998740196228, time : 49
iteration : 4999, ce : 0.20269569829106332, dice : 0.5334484919905662, total_loss : 0.7361441850662231, time : 49
saved model in ./experiment/model/semantic_sam/model.pth
iteration : 4999, mIoU : 86.87655639648438, OA : 94.42048645019531, best_valid_mIoU : 86.87655639648438, time : 798
iteration : 5019, ce : 0.21056213714182376, dice : 0.4970345556735992, total_loss : 0.7075966939330101, time : 859
iteration : 5039, ce : 0.19820141196250915, dice : 0.5278666853904724, total_loss : 0.7260680943727493, time : 49
iteration : 5059, ce : 0.17950147278606893, dice : 0.5136005267500877, total_loss : 0.6931020021438599, time : 52
iteration : 5079, ce : 0.16833767518401146, dice : 0.48582807928323746, total_loss : 0.6541657537221909, time : 51
iteration : 5099, ce : 0.1911375317722559, dice : 0.4808993935585022, total_loss : 0.6720369249582291, time : 50
